time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long RR At Market,Long Target T1 Waypoint,Short Target T1 Waypoint,Zone RR Flags Pack,Signal Pack,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Volume,Z RSI,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,Premove Pack,Darvas Box Top,Buy Category Pack,Sell Category Pack,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-07,83.13,85.17,80.12,83.65,83.63752731322698,85.14277878787877,78.71698599002816,75.52963214333771,71.56179512734177,76.42284851626434,0,0,0,0,75.19132550912052,76.60194553571363,98.91310438521062,50.46497252850959,2,9,83.65,,,74.297286104824,86.72076235617384,86.81606349006243,86.38097583441609,87.25115114570877,88.99150176829416,76.66092,1,5.5,5.5,16.891981050989134,0.16320979784748021,1.1954393183490106,0,14.251897666683012,78.54203097312389,0,0.3283284820417402,0.3283284820417402,,76.66092,8,4,8,8,1,0,1605,0,,5,,3.4222799909999675,0.10183798115332379,1.5233324740736096,1.1810500402610977,18,5.574554877657307,0.46479924974822656,4964,75.41,546,32,,,,,,2.3209097816703554,67.12351574759403,68.65079365079364,35.96006929106395,3,49.37002172593461,19.803865634125543,25.4921869251127,17.118465098350683,,,,49263147
2025-05-08,83.87,84,82,82.3,83.19168487548465,85.65038051948054,79.05822541954929,75.7951367651676,71.66864293701995,76.77061832974353,0,0,0,0,75.34463826228142,76.87567463368049,90.96316414166608,30.82413010143674,2,10,77.48770239010415,76.66092,77.75,74.97345156474215,86.57,87.1190952980046,86.69722818919013,87.54096240681906,89.22843084207692,76.66092,0,0,1.5,14.834042654222616,0.09194799104889087,0.7489331279569014,0,10.122280157845642,73.4315215153,0,3.6123275841375895,0.5828119526858379,86.57,76.66092,12,4,8,10,1,0,1605,0,,6,,0.4215938768917904,0.18615345191305274,0.5317364841785014,0.7392742370410642,19,2.609768897364894,-1.6452640608515423,832,86.57,66,0,,,,,,1.1605187678638622,67.25452266236978,68.65079365079364,91.80172924399265,3,35.06460704366993,19.79299738493857,24.413132374161847,16.39386042932278,,,,24293149
2025-05-09,82.85,84.1223,82.32,82.81,83.06445658365644,85.77422597402597,79.41553728435412,76.07022944104338,71.77950221127846,77.11948965034424,0,0,0,0,75.46914954104113,77.09171400480906,89.25832767088775,25.262317226452883,2,11,77.05551420144272,76.64750992182928,77.46351848105616,75.01549280337557,86.57,84.60000000000001,84.19199572038657,85.00800427961344,86.64002139806716,76.66092,0,2,4,15.36719738770822,0.09905820916076333,0.7806224003079212,0,9.604236083994207,68.90588281080237,0,4.6639147057829415,0.4823909844651028,86.57,76.66092,12,4,8,10,2,0,1605,0,,7,,0,0.1763916054422328,0.6655938542479929,0.7681741589366848,20,2.161079691564163,-1.4334921374388527,17216,86.57,98,0,,,,,,0.9198747005245168,66.1090828289287,67.06349206349206,98.70449056729103,3,33.27004973072863,19.821843551486804,23.70721253946588,15.740100395572558,,,,19105415
2025-05-12,84.615,88.31,82.22,88.1,84.74297105577095,86.20684155844155,80.24262897155849,76.54198514923776,71.94189522410156,77.49697676012072,0,0,0,0,88.1,77.85509458709399,98.77518472460125,61.63533082451396,2,12,88.1,86.5667638832161,87.4332361167839,81.1682221314576,92.72550000000001,88.31,,,90.4761805839195,80.12,1,3.5,0,22.45993760042791,0.18689507532026436,1.8865557560268005,0,10.992150700368324,73.66075785557167,0,0.6672891266454646,0.6672891266454646,88.70575808863697,80.12,8,1,11,8,1,0,1605,0,,8,,1.9461083657420661,-0.02523179166601866,1.3834297652116652,1.857864620622523,21,5.413408492557454,1.0721310612747277,52067,86.57,8290,32,,,,,,1.7846956526564957,64.72648098769227,65.07936507936508,69.98425622334828,3,38.07792699498351,20.989346676281947,29.36218469067147,13.76457728969039,,,,39104621
2025-05-13,87.41,92.17,86.93,91.72,87.06864737051397,87.24639783549783,81.33571192664816,77.1372014178951,72.1386922865483,77.91958766001436,0,0,0,0,91.72,78.70384352888128,99.76661336833615,3.9165382357234444,2,13,91.72,86.55092360584352,87.44907639415648,84.53477769349635,,92.17,91.72092360584352,92.61907639415648,94.41538197078239,80.12172000000001,1,3,0,27.143973771621887,0.25840233024981607,2.4632155772044415,0,11.404022078396963,96.48422303122544,1,0,-0.1486697948463764,,80.12172000000001,8,1,11,10,1,0,1541,0,,9,,1.496187110734873,-0.09689764638906234,1.732570802244764,2.416513342877639,22,7.637189905646833,-3.8266787288491853,53056,,578,32,,,,,,1.590056775478137,63.43773514078455,63.492063492063494,60.582789162139825,3,39.50469130084153,22.8290865063826,33.977652826287205,12.330554952469313,,,,36770807
2025-05-14,90.58,91.65,89.68,90.41,88.18243158034265,88.47083636363637,82.19992983839596,77.65770332307568,72.32049634339857,78.37166616737122,0,0,0,0,91.12456894557009,79.27198622562094,94.98332912732964,19.156867748794724,2,14,87,86.56478620542613,87.43521379457387,84.82393102713064,91.97531620166177,91.58391375020987,91.12456894557009,92.17,93.91085517829549,80.12172000000001,0,2,0,25.01296945019188,0.192059565221547,1.8730356139415894,0,11.688021956274994,76.58928779961555,0,2.2863779887920233,0.2802178435791365,91.97531620166177,80.12172000000001,12,0,10,10,1,0,1541,0,,10,,0.7416618068125507,0.07866207491292662,1.2515132993202562,1.8455694522530866,23,3.024351269143967,-1.9117814921657281,34624,,34,4144,,,,,,1.2783780828431526,61.55375842695587,59.92063492063492,52.02777309276318,3,40.48849573649774,24.53741634861892,32.555642117539435,11.81450455673248,,,,30640123
2025-05-15,89.66,91.1134,89.2424,90.16,88.84162105356177,89.61743203463202,82.95803175854873,78.14798946726879,72.49800384246923,78.84516610927898,0,0,0,0,90.89979511702491,79.61412311097125,93.24174371500474,17.623732842077523,2,15,90.16,86.5791675478957,87.4208324521043,84.89583773947845,92.17,92.59604144293083,92.17520899082652,93.01687389503513,94.70020370345237,80.12172000000001,1,2,3.5,24.36204477561683,0.18986025937523557,1.5945306950428273,0,11.518912597666816,73.68601474095009,0,0.3818271361188751,0.3818271361188751,92.17,80.12172000000001,8,0,10,10,1,0,1541,0,,11,,0,0.130605612722778,1.2244002839772112,1.5720410890341412,24,2.7283908838476734,-1.7620033969407753,34624,,34,48,,,,,,0.8466106555907027,59.54396200916641,58.73015873015873,49.22295053081822,3,39.90268373420824,25.900197521869178,31.263313957320143,12.273948134957847,,,,20481634
2025-05-16,90.55,92.9,89.71,91.79,89.82441403570785,90.66462207792208,83.7991715910679,78.68297027247394,72.68996400324068,79.34410696540981,0,0,0,0,91.07742394172777,80.01009360359369,95.1983060842613,14.510873196368546,2,16,91.79,86.58074486590314,87.41925513409686,85.08191785445025,94.09804019566351,92.9,92.48074486590315,93.31925513409686,94.99627567048431,80.57286,1,2,0,26.27602896585258,0.17582458927370737,1.747877553238877,0,11.377433293018841,84.48504024196971,0,0.34406856469321845,0.34406856469321845,94.09804019566351,80.57286,8,1,10,10,2,0,1541,0,,12,,0,0.10480350405222552,0.9100544937467782,1.7220082925588518,25,4.26759597737024,-2.2942869166748387,51008,,66,32,,,,,,0.905605258285192,57.35303449237827,55.55555555555556,45.5195958974965,3,39.41258504646862,27.510881252269286,32.94422932315479,11.440116141572483,,,,21909595
2025-05-19,90.88,92.545,90.56,92.46,90.7029426904719,91.62338354978355,84.62401239191858,79.2232459480632,72.88668077932783,79.86641005025724,0,0,0,0,91.2836745695323,80.35598236137167,96.14466365675511,15.3394659682283,2,17,92.46,86.59296844691006,87.40703155308994,85.94749515056094,94.91945941658805,92.9,92.49296844691007,93.30703155308994,94.9351577654497,80.57286,1,3.5,0,26.854452708489312,0.18316115243133546,1.6766368431793943,0,10.52914086810419,81.70607999727582,0,0.37765183649727385,0.37765183649727385,94.91945941658805,80.57286,8,0,10,10,1,0,1029,0,,13,,0,0.11730743368110166,0.8213646325175156,1.6512659754072991,26,4.237129093333261,-1.7543686430422205,34624,,50,32,,,,,,0.798042292103519,54.759034798716755,52.77777777777778,50.13163883757418,3,36.47401388721266,29.006516144783674,31.509751746810807,10.941983679134747,,,,19252125
2025-05-20,93.35,93.6,90.61,91.87,91.09196179364794,92.45270952380953,85.3141064498311,79.71919708735483,73.07556952779223,80.40196298898036,0,0,0,0,91.36523016973439,80.69232053639963,97.36303010149024,19.934917721736376,2,18,87,86.5953457007022,87.4046542992978,84.97672850351098,95.505799277942,93.6,93.19534570070219,94.0046542992978,95.62327149648901,81.00546,0,2,0,25.71917070733174,0.18192918686999204,1.3519883472854093,0,10.638568814996493,82.88523726212337,0,4.203983149420194,0.527441764014929,95.505799277942,81.00546,12,4,8,10,1,0,1029,0,,14,,0,0.18437718783753443,0.6715496655805837,1.3324974784783703,27,5.214946217848483,-1.0584245470559317,42816,,4146,4144,,,,,,0.8567803695156402,51.96416172957503,48.80952380952381,41.00356582030198,3,36.85308341478349,30.599504142649863,31.758770351276297,10.22010357993239,,,,20851285
