time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,9.71649403,9.7346557,9.69106406,9.7346557,9.712342660971148,9.890597202717316,9.563255637682587,9.249948031322102,8.933199683,9.270270615745861,0,0,0,0,9.879231058464164,8.864134550759378,97.01832336850791,32.19618117118004,2,22,9.7346557,9.460663469100878,9.512848845419123,9.356292716464386,9.97439339,10.00231971707914,9.976227028920016,10.028412405238262,10.132783157874753,9.48675615726,1,2,0,8.971656802043519,0.0448582840102176,0,0,8.455827321996493,50,0,0.6336182460550743,9.97439339,9.48675615726,0,1,0,0,8,10,1,0,744,0,,1,,0,0,2,4.683159819833817,-1.6354893073774963,,,,,,0.2757139020678543,48.46594074514463,,65.45881834026713,3,29.291845083454003,29.5385776289446,24.304428210045394,21.8971916428819,,,,15400
2006-12-28,9.7346557,9.7346557,9.70196833,9.7346557,9.719780340647432,9.829426328022079,9.579579453141388,9.268956175191823,8.941174369736318,9.302008859625245,0,0,0,0,9.87174495576052,8.86671252998554,97.94210618607701,24.804721804099678,2,23,9.7346557,9.462235381022957,9.511276933497044,9.364152276074787,9.97439339,10.001795423408481,9.977274647171438,10.026316199645525,10.124399304593695,9.48675615726,1,2,0,8.874464331547106,0.04437232165773553,0,0,8.286879022177537,50,0,0.6470593104380921,9.97439339,9.48675615726,0,1,0,0,8,10,1,0,744,0,,2,,0,0,3,5.517220259107882,-1.6354893073774963,,,,,,0.47810253058175367,46.367349944449884,,61.521616886132236,3,28.706591005176378,27.800842518186954,24.015151691450036,21.636566570334416,,,,25600
2006-12-29,9.7346557,9.7346557,9.6002557,9.62931438,9.689625020431622,9.770367947177924,9.584316112842208,9.283087869498026,8.948021534017549,9.331841514282583,0,0,0,0,9.862682130498444,8.868402564903679,97.68742777351214,27.832954140903304,2,24,9.399548185325374,9.375578893105263,9.423517477545484,9.27970172422482,9.97439339,9.862682130498444,9.838712838278333,9.886651422718554,9.982528591598998,9.41492536218,0,0,0,7.613893679093095,0.038069468395465475,0,0,8.28467580547496,50,0,4.79651380104012,9.97439339,9.41492536218,1,1,0,0,8,10,2,0,744,0,,3,,0,0,4,4.40843580513514,-0.6354893073774961,,,,,,0.39579468150896724,43.50412127966567,,51.58780332161196,3,28.69895883863848,26.046719938872283,22.812855696663302,24.34215221069845,,,,19200
2007-01-03,9.66201265,9.71649403,9.17890857,9.22976125,9.536337096954414,9.668863325369697,9.550548983047712,9.28099662951771,8.950824914276081,9.35740198365592,0,0,0,0,9.794311726248697,8.870978403523534,13.848237304477335,93.45257973396247,4,0,9.13294002161329,9.105882951516044,9.159997091710537,8.99765467112706,9.51671565,9.22976125,9.375240506152753,9.429354646347246,9.662674371555934,9.119424636370233,2,0,3,3.1163198743730254,0.015581599371865127,0,4,8.223262855387535,50,0,0.2548701070395019,9.51671565,,1,0,0,0,10,8,0,0,744,0,,4,,0,0,0,-1.9972699592504846,3.3645106926225035,,,,,,1.380381713271194,40.79061324161849,,43.19420374619957,3,28.48621813905026,26.241515082576942,18.765900441797637,33.92795134088899,,,,62200
2007-01-04,9.22976125,9.67290602,9.21523191,9.65837668,9.57701695796961,9.592613300016449,9.560818287519359,9.295795847183683,8.957865230352937,9.381669827700147,0,0,0,0,9.78861195392679,8.87324582551245,98.61532546904859,0.7163146739599481,2,0,9.65837668,9.370337387110075,9.428758983540673,9.191003908555203,9.97439339,9.78861195392679,9.75940115571149,9.817822752142089,9.934665945003287,9.41492536218,1,5.5,0,7.82007131870484,0.039100356593524205,0,0,9.252750960475101,50,0,0.6761555856647189,9.97439339,9.41492536218,0,1,0,0,8,10,1,0,744,0,,0,,0,0,1,5.247682085240687,-6.1354893073774965,,,,,,0.570975416336241,37.53049308733152,,17.090800235250494,2,32.052469546649206,26.422396287445558,16.14068876298313,29.18168007218029,,,,25200
2007-01-05,9.62205697,9.62205697,9.23339358,9.37505462,9.509696178646406,9.51550861264502,9.543126509660372,9.298904034352951,8.96201636855838,9.403080553374776,0,0,0,0,9.763168232882574,8.875494988415904,55.68138164485826,58.88163937801853,4,0,9.170263737620822,9.139344933028044,9.2011825422136,9.01566971465693,9.63658268,9.631131454999998,9.60021265040722,9.662050259592776,9.78572547796389,9.194057836221482,0,2,1.5,4.60876475176602,0.0230438237588301,0,4,9.564744014153952,50,0,2.8272349111492057,9.63658268,9.194057836221482,1,1,0,0,8,8,1,0,744,0,,1,,0,0,0,-0.4342332627888892,2.364510692622504,,,,,,0.8737110544406254,36.97578683992603,,11.597239058037935,2,33.13324518780987,26.590357406252135,14.159832217594282,25.60037553027063,,,,39400
2007-01-08,9.33509894,9.45496597,9.28424626,9.4368043,9.48539888576427,9.456052615203893,9.533000584930813,9.304311887907737,8.966740626582675,9.422354801914084,0,0,0,0,9.753572203331313,8.876731029760837,76.78393346682016,35.76940533066629,2,0,9.189893964625814,9.159659362950377,9.22012856630125,9.038720956248628,9.70922936,9.75568237488835,9.725447773212913,9.785916976563787,9.906855383265535,9.204685914992004,0,4,0,5.242302560015853,0.026211512800079263,0,0,9.586755856487766,50,0,3.43537117471669,9.70922936,9.204685914992004,1,1,0,0,8,10,1,0,744,0,,0,,0,0,0,4.673941589775583,-2.1354893073774965,,,,,,0.4369861470886361,36.199886898020054,,9.004624494854308,2,33.209496446390595,26.746321302286812,13.445961586235823,24.309727734310172,,,,19400
2007-01-09,9.40774199,9.41863899,9.23702228,9.31693364,9.429243803842848,9.403866241145021,9.512422780651688,9.304806858578022,8.970225134178868,9.43911737385176,0,0,0,0,9.735371002506898,8.878160420717986,74.078946376361,52.205141349289526,4,0,9.197597129438202,9.167738374132439,9.227455884743966,9.048303352909388,9.63658268,9.631227090526316,9.601368335220553,9.66108584583208,9.780520867055131,9.190727242320047,0,2,0,3.8651037252129097,0.019325518626064547,0,4,9.672418401760563,50,0,2.940414267550332,9.63658268,9.190727242320047,1,1,0,0,8,8,1,0,744,0,,1,,0,0,0,1.6581550251985302,0.8645106926225039,,,,,,0.6313242410910691,35.87182795727179,,7.060140841741777,2,33.5062402078269,27.0857765503904,12.642697111014032,24.269583814506262,,,,28700
2007-01-10,9.37142228,9.37142228,9.13531692,9.20797087,9.355486159228565,9.342876628072727,9.483427360589623,9.301009368829865,8.972590763391018,9.453112167690133,0,0,0,0,9.70409737803525,8.879771969186669,46.685417010497204,64.15450951998523,4,1,9.140231226055903,,,8.991060872850575,9.51671565,9.255663121343904,9.225829050702838,9.28549719198497,9.404833474549232,8.95370021,0,4.5,3,2.623323773656928,0.013116618868284642,0,4,9.655630202085746,50,0,2.024282337980813,9.51671565,9.140231226055903,1,1,0,0,10,8,0,0,232,0,,2,,0,0,0,-1.468205889092204,1.364510692622504,,,,,,0.9376687911850492,36.36713084814764,,8.727096757997444,2,33.44808417821811,27.79975158541917,11.749360651714161,25.598468770074668,,,,43400
2007-01-11,9.20433491,9.69470003,9.20433491,9.596627,9.43586643948571,9.322120693590044,9.494208278628706,9.312602217111047,8.978800079178173,9.467056659808902,0,0,0,0,9.694023693516593,8.88582998919544,99.31842802675835,9.057642621352853,2,0,9.596627,9.117133426883935,9.181296078074485,9.083325790475596,9.97439339,9.62931438,9.597233054404725,9.661395705595275,9.789721007976377,9.31615268406,1,3.5,0,6.8809519687888665,0.18440475984394433,0,3,10.565459386320114,50,0,0.7359546071399621,9.97439339,9.31615268406,0,1,0,0,8,10,1,0,232,0,,3,,0,0,1,6.2022460753854,-2.6354893073774965,,,,,,1.6168304143528407,36.82378098447406,,0.6119047293538137,2,36.59982492482385,26.326964295729482,19.143042034366314,22.10494868433848,,,,75700
