time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Zone RR Flags Pack,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Volume,Z RSI,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,Premove Pack,Darvas Box Top,Buy Category Pack,Sell Category Pack,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-06-02,199.31667519,201.15777689,199.15744477,200.72984514,200.04819616679836,197.87111890738183,202.15883539884888,206.50578108786098,215.2312869872341,196.0427827314396,0,0,0,0,216.94749978431312,199.53006562320246,92.96719946850305,85.1257031268148,5,4,199.53006562320246,198.82869918872396,200.23143205768096,196.0232334508099,208.323688,207.62701231688334,206.92564588240484,208.32837875136184,211.1338444892759,193.59419827572,0,3,0,-6.7376086675048406,0.15,-0.282306380618982,0,8.863164110130242,57.562306344717705,0,2.5075686387347207,208.323688,193.59419827572,12,8,8,1,1,256,0,20,28,,0,0.3082566552515072,-0.8439280117846524,-0.2730986183046058,0,4.21305073768428,2.8844642012992043,1625,212.91097209,4144,65553,,,,,,0.6603054741296539,77.46709442267489,91.66666666666667,152.31196930647982,3,30.702901109133148,16.315691999468704,19.00719053466622,29.062782986281295,,,,35423294
2025-06-03,200.38152861,202.78988867,199.98842851,202.29229362,200.7962286511989,197.73940479879482,202.17154570562516,206.34054628519976,215.10254078457507,195.62140772510682,0,0,0,0,216.8416089726942,199.58294298750175,94.73425659947225,84.04963895282576,5,5,199.58294298750175,198.90666111834312,200.25922485666038,196.20153364170864,208.323688,203.6853792120002,,,207.06678855779333,196.58109679446,0,3,0,-5.955414156360201,0.15,-0.07686701549317772,0,8.265848614269228,61.303562140520505,0,2.5849414012452527,202.82969628,196.58109679446,12,8,8,1,1,256,0,21,29,,0,-0.05012914079538244,-0.5188158336545597,-0.06779699782461186,1,4.172892100747442,2.3616741586436305,22080,202.82969628,8768,65552,,,,,,0.883206352795689,72.04998420627358,90.07936507936508,151.62617728559724,3,28.6337395351742,16.260322378084616,20.458974387914893,27.987863631700534,,,,46381567
2025-06-04,201.93402518,205.24800824,201.12792119,201.84445807,201.14563845746594,198.04655759365713,202.14039450223228,206.16422910028996,214.9706195635345,195.22052176762708,0,0,0,0,216.7404240553964,199.62292311656518,94.48858928271291,83.66444874041616,5,6,199.62292311656518,198.95816060368574,200.2876856294446,196.299110552168,208.323688,203.2853914556831,,,206.60920402008028,195.8335098,0,0,3.5,-6.106025800262941,0.15,-0.12847898069508937,0,8.26708796674893,56.21600488729385,0,2.6177062379005878,202.82969628,195.8335098,12,8,8,1,1,256,0,22,30,,0,-0.03797811267607695,-0.3992532610467747,-0.11858091413032777,0,3.477260886352789,2.390732757094175,18025,202.82969628,4128,65553,,,,,,0.8363771257751783,64.69426060930701,88.4920634920635,125.9032982837351,3,28.638032778100857,15.653603178260209,22.62837428689488,26.439076977605268,,,,43603985
2025-06-05,202.52118734,203.76517498,199.18730047,199.66499173,200.6520895483106,198.42237308058915,201.9046418572578,205.90935704655308,214.81832475922073,194.83232920558652,0,0,0,0,216.5957590146704,199.6238443440509,96.37018051498578,84.58005403894389,5,7,199.6238443440509,198.96569098825213,200.28199769984965,196.3330775650571,205.82903218500002,202.87537414972218,,,206.16614092871598,195.8335098,0,0,5,-7.05402253099467,0.15,-0.37970259282376995,0,8.25780289402358,67.40130165602747,0,1.8856358586573707,202.82969628,195.8335098,13,19,8,1,1,0,0,23,,,0.36252622798133727,0.3455904955823479,-0.18779775079346397,-0.36802628885629973,0,5.121907247410239,2.46535686134173,1641,202.82969628,4096,65569,,,,,,1.0729951025805957,54.76828671571605,80.55555555555556,91.45822129793122,3,28.605868342676306,15.446712572203774,21.223064358826253,27.429772258262158,,,,55221235
2025-06-06,202.02359229,204.71060558,201.07816168,202.93916719,201.4144487622071,199.14966285138266,202.00316807942372,205.79287901296277,214.70012418639266,194.48198659201304,0,0,0,0,216.498799310025,199.68400775428336,96.29583269768192,77.28768990575493,5,8,199.83288866598727,199.17669614051343,200.4890811914611,196.55192603861803,208.323688,206.2049751641499,205.79287901296277,207.51736021509757,210.14213031699296,196.58109679446,0,1.5,2,-5.477852908078589,0.15,0.04069727746130552,0,8.381872244808743,67.68466989987041,0,2.587898826760148,202.82969628,196.58109679446,12,8,8,2,1,0,0,24,,,0,-0.5581182763570048,0.1524485880008119,0.04992435024306197,1,4.066428748443126,1.3794337173808708,18028,202.82969628,8241,65536,,,,,,0.9090456602387281,40.58065030814162,52.77777777777778,39.76143214188445,3,29.035657181120282,15.032258986762969,21.05243271461807,25.546613605506078,,,,46607693
2025-06-09,203.40690654,205.00916262,199.05792576,200.48104762,201.10331504813806,199.8014485496779,201.85820422614526,205.58457189951326,214.55864083747332,194.15690517949523,0,0,0,0,216.3229650486348,199.70599567837348,97.76308069447211,85.43613835685531,5,9,199.84035692837716,199.17789925418717,200.50281460256716,196.52806855742716,205.24800824,202.43603474879146,,,205.74832311974146,193.59419827572,0,0,5,-6.561186798408645,0.15,-0.2596160798433893,0,8.483897185342876,67.02872577856078,0,1.6326028129223107,205.24800824,193.59419827572,13,19,8,1,1,0,0,25,,,1.8240060624518204,-0.057773816598344574,0.477167473861319,-0.24885303839287415,0,6.228980569837677,3.673549723706663,1600,205.24800824,16,65553,,,,,,1.3723972985896937,22.439396255349394,25.396825396825395,-23.64716836231282,0,29.3890819424089,15.032922218381703,19.36380712866355,26.220371522027445,,,,72862557
2025-06-10,199.63513602,203.36709894,199.60528032,201.69517955,201.30060321542538,200.43294999700305,201.84267806651238,205.43204670933628,214.43064619779696,193.86587762516254,0,0,0,0,216.20346081418788,199.7463366540931,85.64408346692935,91.15011434754695,4,0,199.8502363510024,,,196.6066016752988,205.24800824,202.3139060050001,201.6651790698594,202.9626329401408,205.55754068070365,195.57225162155999,0,1.5,3.5,-5.93920079690913,0.15,-0.09377454879778563,4,5.684448585321061,41.11326535234386,0,2.078425919521226,205.24800824,195.57225162155999,14,8,19,1,1,0,0,26,,,0.19267052428852588,-0.4319729006985845,0.14711653806125113,-0.0859289140073019,0,1.8019053643636305,4.393852760308762,17472,205.24800824,48,65539,,,,,,1.038686665004079,16.168435665427438,19.841269841269842,-17.89132627643916,1,19.691507525578206,15.033538076313382,18.36125111327959,24.862818690585605,,,,54672608
2025-06-11,202.52118734,203.51637745,197.45566968,197.82389002,200.14169881695025,200.58423806245847,201.4599363477969,205.13368762347994,214.265404842794,193.5856455836372,0,0,0,0,216.0374685619269,199.70380641461057,83.2988818285345,95.48360582155841,4,1,193.13192319723285,192.06862004,193.4985794583476,189.44260900340592,205.24800824,197.82389002,201.42792144395162,202.74092696224864,208.32793416637634,193.4985794583476,2,0,6.5,-7.673434185447298,0.15,-0.55063300436061,4,5.789046190383466,33.80418800619226,0,0.4117757409792051,205.24800824,193.4985794583476,4,8,8,1,1,0,0,27,,,0.7367679098770846,0.8345018389239952,-0.19628948776235985,-0.538492576326143,0,2.3693376593651756,8.2228538953859,1088,205.24800824,16,65571,,,,,,1.1487944752496473,11.996372787602404,8.333333333333334,-40.17918642861473,0,20.05384425821443,15.450719856099985,16.84779080438154,25.736968884306663,,,,60989857
2025-06-12,198.12244706,198.71956112,196.41081959,198.24186987,199.50842250130017,200.3787403512801,201.15345382610198,204.8634202605984,214.10596668386071,193.31829298509007,0,0,0,0,215.9225200273101,199.68088914352964,89.071630293353,96.48337961014752,5,0,193.28877655842112,192.06862004,193.70952018546288,189.54772616566265,205.24800824,199.88393355,199.25371008141565,200.51415701858434,203.0350508929217,193.70952018546288,0,0,0,-7.409460399244708,0.15,-0.4505000556178544,6,5.815461374169507,39.53834131261304,0,1.9594361912312082,205.24800824,193.70952018546288,12,8,8,1,1,0,0,28,,,-0.8192843900135722,0.5862761651928844,-0.1127787947075487,-0.43670295510059903,0,3.6328664098611583,4.975563744257201,1600,205.24800824,4096,65569,,,,,,0.8312240897979927,11.08935166084081,7.142857142857143,-44.953291281732696,0,20.14534913903181,16.034162341402496,16.29672218323545,26.37541872345817,,,,43904635
2025-06-13,198.76932063,199.4062423,194.75870449,195.50509707,198.17398069086678,199.67515429894718,200.6155150874256,204.49642719430042,213.92088340412081,193.0489097079129,0,0,0,0,215.76913973640757,199.60556734567407,92.70298972337942,97.99640965963559,5,1,193.61601900845886,192.9893156286127,194.24272238830503,190.482502109228,202.1716381628,195.50509707,200.32715344220023,201.973003759467,204.4798172788517,193.61601900845886,2,0,1.5,-8.608690297586001,0.15,-0.7395651162010816,6,5.913065030489853,27.893712811243972,0,0.21048879715246827,202.1716381628,193.61601900845886,4,8,8,2,1,2,0,29,0,,-0.15761255028813156,2.1485665045142084,-0.4199503516465131,-0.7296519406804428,0,4.10842538709953,7.183279468619165,1600,205.24800824,4112,65585,,,,,,0.9681446642312873,10.080522337484997,5.555555555555555,-50.78700931658064,0,20.483458122534472,16.880229714213062,15.217668294703646,26.982774206802276,,,,51447349
