time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long RR At Market,Long Target T1 Waypoint,Short Target T1 Waypoint,Zone RR Flags Pack,Signal Pack,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Volume,Z RSI,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,Premove Pack,Darvas Box Top,Buy Category Pack,Sell Category Pack,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-21,629.24191159,644.00214067,627.62844526,632.9369487,635.0347053011201,656.2985145620038,606.6595889146026,593.7466429933268,573.671981451454,566.5633005726088,0,0,0,0,592.2060071725942,563.5531828924007,98.1805425613205,82.2368497852772,5,11,632.9369487,620.978556810089,626.2707600299109,606.4596323807128,657.206611095,634.74806701,,,647.9785750595545,606.01284758,1,4,4,10.330810840473509,0.06943183198014533,0.7404995053896655,0,10.687348181205154,50.69317774646511,0,0.9166209332673538,0.9166209332673538,657.206611095,623.62465842,8,4,8,8,1,0,1108,0,,8,,0,0.2534114876550823,0.6960021055847274,0.7303206863158638,19,5.445316144854239,4.338532596400232,10081,659.99736868,4144,32,,,,,,0.7178591691826182,71.99444308242398,94.84126984126983,94.46363302214183,3,37.022060096052314,25.68895888910009,34.25891538155158,18.578983019772963,,,,11464569
2025-05-22,631.49279673,640.65569198,628.16626737,634.00263325,634.69068128408,654.7839925758735,609.2636883751167,595.3253092779022,574.2722864444744,567.4052645317972,0,0,0,0,592.4822053345548,564.532274260053,95.04974833247428,84.18606806834067,3,0,634.00263325,606.792894132091,613.4473546079,596.5184658449219,657.206611095,634.74806701,632.1794599382077,637.3166740817923,647.5911023689613,606.01284758,1,3.5,3.5,10.401049853082348,0.07422747148763398,0.6767644911652243,0,10.605715666420997,49.726180532262504,0,0.6190341002974078,0.6190341002974078,657.206611095,623.62465842,10,12,15,19,1,1,1108,0,0,9,,0,0.2144397651923433,0.6865672407801043,0.6667578231159967,20,3.3418479311552236,2.335429508414895,10081,659.99736868,4128,32,,,,,,0.5245583625949487,72.06306411135415,95.23809523809524,96.14720388482665,3,36.739276769740755,25.973714775544476,32.77160933493055,17.772400748337198,,,,8228443
2025-05-23,621.48332964,629.8942699,620.13877436,624.53098828,631.3041169493866,651.2389562750016,610.7177169374864,596.4706300230825,574.7723730299025,568.2527175120284,0,0,0,0,592.698328097833,565.3769270085388,97.12822785037343,50.54837897829182,2,0,624.53098828,613.7240656096,621.399078387664,600.0674176202574,647.36276647,637.1125652214286,634.6036456289607,639.6214848138964,649.6571631837676,623.62465842,1,6.5,2,8.657099329217202,0.06995216331275268,0.2792258118720627,0,10.698742409479891,88.55490233256045,0,0.9332970443097319,0.9332970443097319,647.36276647,623.62465842,0,4,8,8,2,1,1108,0,1,10,,0,1.1458020530157542,0.5972166050698826,0.2722450927515637,21,5.998358311267655,-1.6826267933491144,26465,659.99736868,4146,288,,,,,,0.5542132238304789,72.26089044830289,95.23809523809524,94.97546045805726,3,37.06153086062208,25.71834174532907,31.154731778274822,19.752319737594835,,,,8454067
2025-05-27,632.84731168,640.48637761,630.19803979,639.72944278,634.1125588929244,647.669765837035,613.4807384462972,598.1670540527656,575.418712032391,569.1878257960768,0,0,0,0,593.0523523365835,566.5358368522029,97.17320685024697,26.810185750530326,2,1,639.72944278,634.6403953379763,639.5847351048808,610.420680722382,666.1384825875,661.6134512872368,659.99736868,666.1384825875,676.0271621213091,606.01284758,1,3.5,0,11.176336362170453,0.08699279292196338,0.7171351235492746,0,10.831783991402695,90.6266107412907,0,0.9010629570632351,0.9010629570632351,644.00214067,606.01284758,8,4,8,10,1,1,1108,0,2,11,,0,0.20494763624793802,-0.1472970888121729,0.7086037631027092,22,4.298472672560216,-4.162189507598664,1856,644.00214067,50,0,,,,,,0.635134035596045,73.0936395106869,96.42857142857143,94.80000931074535,3,37.52240041944135,25.89057086220798,33.184920851995834,18.61409196300217,,,,9508367
2025-05-28,640.00831351,648.25491923,639.95572646,640.98436104,636.4031596086163,644.5842462314592,616.1001310742689,599.8461641306964,576.0711065498797,570.1999401418152,0,0,0,0,593.3930552832322,567.6233137757449,97.54503530739899,37.18856931906336,2,2,640.98436104,634.7408585756336,639.4842718672235,620.9820732936404,666.1384825875,661.6134512872368,659.99736868,666.1384825875,675.6253091706798,606.01284758,1,0,4.5,11.268271182508906,0.09189691146810008,0.6600140671056235,0,10.84690421890431,73.1635811403758,0,1.2575622282045267,1.2575622282045267,644.00214067,606.01284758,8,4,8,10,1,1,1108,0,3,12,,0,0.18443602425681893,-0.46964933580566465,0.6539084171125156,23,4.693658968110146,0.31013492057713754,18240,644.00214067,82,32,,,,,,0.6097262968414443,71.93049679453691,93.25396825396825,91.43292339067241,3,37.57477842395094,26.333446007918347,35.044404995050094,18.01666953699275,,,,9042874
2025-05-29,649.01683389,650.6850784,636.9208162,642.44843235,638.4182505224109,642.5030501369788,618.609493100529,601.5168413157671,576.7315774533635,571.2759208089896,0,0,0,0,593.7332200727711,568.6818317221075,97.36942388868226,46.912171323071796,2,3,637.1125652214286,634.7873709949761,639.437759447881,625.4865940891663,659.99736868,644.00214067,,,655.6281118022623,622.21128227118,0,3.5,4,11.39470378695375,0.09697351893476877,0.6149227204474048,0,10.71032555713319,67.26223855728227,0,1.968420805300789,1.0346128798151564,644.00214067,622.21128227118,0,4,8,10,1,1,1108,0,4,13,,0,0.1433835600296265,-0.5055893913648228,0.6102450185561057,24,4.286506987300433,0.7960079895183618,18281,644.00214067,4402,48,,,,,,0.6431208742681525,70.89232293957627,91.26984126984127,91.07589920729643,3,37.10165606111625,26.530859300899408,33.19217731911129,18.229804045939805,,,,8883436
2025-05-30,639.90871682,646.79074833,630.2279188,644.87859152,640.5716975216072,641.9070704573558,621.1113119976214,603.2173021080899,577.40965719532,572.431128137158,0,0,0,0,594.3734978063596,570.6028361556324,98.15481132380503,27.804795600605225,2,4,644.87859152,632.4410756789191,637.0550583410809,611.7719881513532,666.1384825875,666.1384825875,663.8314912564191,668.4454739185809,677.6734392429044,622.21128227118,1,3.5,0,11.684760288284762,0.10286824588586826,0.6065956212792543,0,10.123478812934678,89.92836865985164,0,0.6421646712218724,0.6421646712218724,,622.21128227118,8,5,8,10,2,1,1108,0,5,14,,0.6694906815428603,0.06870177759680235,-0.1302668366086337,0.600009553253679,25,5.608578976748489,-2.694870174773094,18284,644.00214067,546,32,,,,,,1.2428880061201917,69.94989904438475,90.07936507936508,99.46499513320646,3,35.06875930669985,26.243201086695183,31.06449742999012,19.651540622557437,,,,16240951
2025-06-02,641.79109421,670.54465788,641.66321207,668.19417605,649.7791903644048,644.7130131060264,625.5953942883242,605.7654148116942,578.3129857411377,573.8138450833027,0,0,0,0,595.2598598507789,572.9342495046385,98.7441469240566,14.182634273119572,2,5,668.19417605,641.6020643821214,646.4022169578786,629.7929554439417,675.9716839790334,675.9716839790334,673.5716076911548,678.371760266912,687.9720654184266,620.13877436,1,4.5,0,15.54196300705144,0.1265987039241461,1.254704581492147,0,9.883705532500578,97.0743901845923,0,0.20253283115189244,0.20253283115189244,675.9716839790334,620.13877436,8,5,8,10,1,1,1108,0,6,15,,0.7912867087256363,-0.24082117633923525,0.44876875483724277,1.2379439897699225,26,6.232228825830729,-6.464698662675869,18284,644.00214067,610,0,,,,,,1.2494600320494806,76.41961019210866,99.2063492063492,123.20010633004779,3,34.23816029868121,26.88019334352508,36.56359106939402,17.540131153885252,,,,15766258
2025-06-03,668.736978,672.85530103,662.3478505,664.16051021,654.5729636462698,649.1804613248053,629.2682624713409,608.0554185528042,579.1671899647084,575.3944505728302,0,0,0,0,595.8624335395313,574.5080111941779,98.4502997992572,11.038095205209885,2,6,634.74806701,632.4256082200948,637.0705257999052,623.1357730604741,679.170947119207,681.4244688064408,679.170947119207,685.25985175,694.5496869096207,620.13877436,0,0,1,14.67509239438626,0.12670879530526463,0.9705852952044873,0,9.953692185309361,87.63989213338952,0,3.825504271791244,0.36588746088725294,644.00214067,620.13877436,12,4,8,10,1,1,1092,0,7,16,,0,-0.07648362295102923,0.35756763509810296,0.958486936112206,27,4.859828068823015,-2.835864211928615,1900,644.00214067,50,16,,,,,,0.9265561939511983,84.2256601292578,100,144.26969732935126,3,34.4806011757142,27.549595062183407,35.9749068988165,16.831591515735337,,,,11585031
2025-06-04,666.62054839,686.22117648,665.87357324,685.17541126,664.7737795175133,656.557244764382,634.5927528321656,611.0797319923021,580.2219981368008,577.2895035047092,0,0,0,0,596.7985836466382,576.7730624174324,98.01012272910845,6.018020063560835,2,7,685.17541126,660.101188037526,664.8082662593141,647.5187854856946,,733.37513135,731.0215922391059,735.728670460894,745.1428269044704,662.45472714842,1,0,0,18.088492587358605,0.1482202407145708,1.4901172041659165,0,9.892360583674787,93.65588352258978,0,0,-0.02878222837870832,,662.45472714842,8,5,8,10,1,1,1092,0,8,17,,0.3425843219999194,-0.20549330837730306,0.8858114585285746,1.4706938685213906,28,4.483541190006818,-5.68959706792323,18284,644.00214067,66,0,,,,,,1.107065600464364,89.28350825880763,100,160.54376552187867,3,34.268142275432886,28.60308702494356,38.03471185116634,15.42293741119197,,,,14031931
